timestamp,elapsed,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1768811647.2537744,0.30811309814453125,23,0,76,,,,,,
1768811647.3196685,0.3739795684814453,36,0,65,,,,,,
1768811647.385505,0.4408431053161621,59,0,49,,,,,,
1768811647.4508457,0.5061838626861572,34,0,59,,,,,,
1768811647.5199704,0.5743131637573242,29,0,48,,,,,,
1768811647.5846088,0.6399469375610352,32,0,57,,,,,,
1768811647.6634161,0.7177519798278809,65,0,43,,,,,,
1768811647.7363956,0.790734052658081,54,0,50,,,,,,
1768811647.803895,0.8583390712738037,34,0,72,,,,,,
1768811647.8876276,0.9419612884521484,43,0,69,,,,,,
1768811647.9645133,1.0188581943511963,53,0,92,,,,,,
1768811648.026574,1.0809130668640137,43,2,69,,,,,,
1768811648.0898893,1.1442337036132812,29,4,53,,,,,,
1768811648.1654215,1.2197606563568115,43,4,70,,,,,,
1768811648.2326624,1.2870099544525146,46,4,74,,,,,,
1768811648.2913074,1.3456473350524902,38,5,58,,,,,,
1768811648.3549232,1.4102613925933838,44,5,57,,,,,,
1768811648.4374673,1.491809606552124,43,6,61,,,,,,
1768811648.500277,1.5546131134033203,43,5,64,,,,,,
1768811648.5622208,1.6165554523468018,47,6,66,,,,,,
1768811648.6233788,1.6777215003967285,40,6,65,,,,,,
1768811648.6866055,1.741943597793579,42,7,36,,,,,,
1768811648.751828,1.8056392669677734,41,8,24,,,,,,
1768811648.8104777,1.8658158779144287,52,12,24,,,,,,
1768811648.8770773,1.9314935207366943,49,16,31,,,,,,
1768811648.9371722,1.9915127754211426,46,15,28,,,,,,
1768811649.0001755,2.0545177459716797,48,16,25,,,,,,
1768811649.0650094,2.119344711303711,38,18,24,,,,,,
1768811649.1274111,2.1817429065704346,44,20,19,,,,,,
1768811649.1878467,2.242187976837158,46,18,27,,,,,,
1768811649.2513373,2.305675745010376,65,17,29,,,,,,
1768811649.3113034,2.365629196166992,59,18,27,,,,,,
1768811649.3748827,2.43022084236145,51,18,21,,,,,,
1768811649.4410286,2.495373010635376,55,22,6,,,,,,
1768811649.5045125,2.558845281600952,54,25,0,,,,,,
1768811649.5632772,2.6176183223724365,46,26,0,,,,,,
1768811649.6241772,2.6795153617858887,50,28,0,,,,,,
1768811649.6914258,2.745772123336792,46,31,0,,,,,,
1768811649.7505167,2.8058547973632812,54,31,0,,,,,,
1768811649.814714,2.869055986404419,55,31,0,,,,,,
1768811649.8786678,2.9340059757232666,56,31,0,,,,,,
1768811649.9417849,2.996122360229492,59,31,0,,,,,,
1768811650.0036519,3.058990001678467,55,32,0,,,,,,
1768811650.0669415,3.12127947807312,56,33,0,,,,,,
1768811650.125762,3.180102825164795,52,35,0,,,,,,
1768811650.1896353,3.24397349357605,55,36,0,,,,,,
1768811650.2545023,3.3088412284851074,56,37,0,,,,,,
1768811650.3134816,3.367820978164673,58,38,0,,,,,,
1768811650.3803868,3.434722661972046,54,43,0,,,,,,
1768811650.442555,3.496896266937256,54,47,0,,,,,,
1768811650.4995492,3.553889036178589,50,48,0,,,,,,
1768811650.5621536,3.6174917221069336,54,48,0,,,,,,
1768811650.629506,3.6838455200195312,54,49,0,,,,,,
1768811650.6858299,3.7411680221557617,52,50,0,,,,,,
1768811650.753086,3.808424234390259,54,50,0,,,,,,
1768811650.815852,3.8701908588409424,55,51,0,,,,,,
1768811650.879503,3.933999538421631,55,51,0,,,,,,
1768811650.9428065,3.9971463680267334,51,50,0,,,,,,
1768811651.0029593,4.058297395706177,48,52,0,,,,,,
1768811651.0637183,4.119056463241577,50,56,0,,,,,,
1768811651.1286354,4.182973146438599,55,59,0,,,,,,
1768811651.1896183,4.243963718414307,49,59,0,,,,,,
1768811651.2499297,4.304285526275635,48,61,0,,,,,,
1768811651.3146865,4.369028329849243,48,63,0,,,,,,
1768811651.3750837,4.429425477981567,47,64,0,,,,,,
1768811651.4393601,4.493700981140137,50,65,0,,,,,,
1768811651.500176,4.554516077041626,49,65,0,,,,,,
1768811651.5634785,4.618816614151001,49,65,0,,,,,,
1768811651.6272225,4.681563138961792,46,67,0,,,,,,
1768811651.687855,4.742827653884888,49,67,0,,,,,,
1768811651.7503517,4.804766654968262,55,68,0,,,,,,
1768811651.8101788,4.864518404006958,48,69,0,,,,,,
1768811651.8751066,4.930444717407227,57,69,0,,,,,,
1768811651.941463,4.994803428649902,57,70,2,,,,,,
1768811651.9993787,5.0547168254852295,48,73,1,,,,,,
1768811652.0643744,5.118717432022095,53,75,0,,,,,,
1768811652.1273656,5.181707382202148,53,74,0,,,,,,
1768811652.1887782,5.242944002151489,50,74,1,,,,,,
1768811652.252144,5.306484937667847,57,76,0,,,,,,
1768811652.3134332,5.368771314620972,56,76,0,,,,,,
1768811652.3756163,5.429956436157227,46,77,2,,,,,,
1768811652.4402325,5.494574308395386,50,77,2,,,,,,
1768811652.500981,5.5553247928619385,53,76,0,,,,,,
1768811652.5619612,5.617299318313599,50,77,2,,,,,,
1768811652.626132,5.680471181869507,49,79,8,,,,,,
1768811652.686347,5.74069356918335,55,82,8,,,,,,
1768811652.7502677,5.805605888366699,57,83,9,,,,,,
1768811652.8116114,5.865954160690308,55,82,9,,,,,,
1768811652.8781888,5.933526992797852,52,82,8,,,,,,
1768811652.937678,5.992021083831787,48,82,7,,,,,,
1768811653.0043323,6.059670448303223,43,82,7,,,,,,
1768811653.0645387,6.119876861572266,48,82,8,,,,,,
1768811653.127066,6.182404041290283,56,82,8,,,,,,
1768811653.1916869,6.247025012969971,47,83,6,,,,,,
1768811653.2544374,6.308777570724487,52,84,7,,,,,,
1768811653.3127403,6.3680784702301025,52,84,8,,,,,,
1768811653.3751976,6.429538249969482,49,84,8,,,,,,
1768811653.4425843,6.49699592590332,50,84,8,,,,,,
1768811653.503238,6.557580232620239,51,84,10,,,,,,
