timestamp,elapsed,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1768811064.361665,6.966057300567627,31,20,37,,,,,,
1768811064.4322252,7.036973476409912,31,19,38,,,,,,
1768811064.5124862,7.118233680725098,31,20,36,,,,,,
1768811064.590479,7.196226358413696,31,21,36,,,,,,
1768811064.6689746,7.27372407913208,31,21,36,,,,,,
1768811064.748079,7.352827072143555,32,19,38,,,,,,
1768811064.8259063,7.430655002593994,32,19,39,,,,,,
1768811065.0628207,7.6675705909729,31,20,36,,,,,,
1768811065.1367178,7.741464853286743,31,20,36,,,,,,
1768811065.2148116,7.819559574127197,31,20,36,,,,,,
1768811065.2933106,7.898052930831909,31,20,36,,,,,,
1768811065.3764062,7.981155633926392,31,21,36,,,,,,
1768811065.4505768,8.056324243545532,31,20,37,,,,,,
1768811065.5293257,8.134078741073608,32,20,38,,,,,,
1768811065.6074884,8.213235855102539,31,20,37,,,,,,
1768811065.6894386,8.294171333312988,31,21,36,,,,,,
1768811065.7649095,8.370656967163086,31,19,38,,,,,,
1768811065.8455415,8.45036768913269,31,19,38,,,,,,
1768811065.92157,8.527317523956299,31,20,36,,,,,,
1768811066.0000694,8.605816841125488,31,20,37,,,,,,
1768811066.073715,8.678468704223633,30,20,37,,,,,,
1768811066.1545134,8.759263038635254,31,20,37,,,,,,
1768811066.2166677,8.822415113449097,31,20,37,,,,,,
1768811066.2823837,8.887134552001953,30,20,36,,,,,,
1768811066.3586698,8.96341872215271,30,20,36,,,,,,
1768811066.4232547,9.02900218963623,30,20,36,,,,,,
1768811066.4827461,9.087494850158691,30,20,36,,,,,,
1768811066.5472574,9.153004884719849,31,19,38,,,,,,
1768811066.6270149,9.231762409210205,30,21,35,,,,,,
1768811066.7026153,9.30836272239685,30,21,35,,,,,,
1768811066.7707818,9.375488758087158,30,20,36,,,,,,
1768811066.827449,9.433196544647217,31,20,37,,,,,,
1768811066.8955479,9.501295328140259,30,20,36,,,,,,
1768811066.955802,9.561549425125122,30,20,36,,,,,,
1768811067.0172882,9.622040748596191,30,20,36,,,,,,
1768811067.098965,9.703785419464111,31,21,36,,,,,,
1768811067.1725283,9.777170658111572,30,21,35,,,,,,
1768811067.249976,9.854728698730469,30,20,36,,,,,,
1768811067.3301594,9.934910774230957,31,19,38,,,,,,
1768811067.4065502,10.011300802230835,30,21,35,,,,,,
1768811067.4844747,10.089222431182861,29,21,34,,,,,,
1768811067.564077,10.169824361801147,29,21,35,,,,,,
1768811067.6384053,10.244152784347534,31,20,37,,,,,,
1768811067.717497,10.322245121002197,31,20,36,,,,,,
1768811067.7968116,10.401561260223389,30,20,35,,,,,,
1768811067.8725321,10.47827959060669,30,21,34,,,,,,
1768811067.9488943,10.554641723632812,29,22,34,,,,,,
1768811068.0298872,10.634634256362915,30,20,36,,,,,,
1768811068.107894,10.712642669677734,31,19,38,,,,,,
1768811068.1839454,10.788696765899658,31,19,39,,,,,,
1768811068.2643082,10.869058609008789,29,20,35,,,,,,
1768811068.3411677,10.94691514968872,29,21,35,,,,,,
1768811068.4204838,11.025230884552002,29,20,35,,,,,,
1768811068.495809,11.101556539535522,29,20,35,,,,,,
1768811068.574351,11.180098533630371,29,20,35,,,,,,
1768811068.6529815,11.25773549079895,30,19,37,,,,,,
1768811068.7321763,11.337923765182495,29,20,35,,,,,,
1768811068.8108096,11.41655707359314,28,20,35,,,,,,
1768811068.8892207,11.493965148925781,28,21,34,,,,,,
1768811068.9666882,11.5724356174469,29,19,36,,,,,,
1768811069.0451782,11.650925636291504,28,20,35,,,,,,
1768811069.1209838,11.726731300354004,28,21,34,,,,,,
1768811069.202967,11.807717561721802,28,20,35,,,,,,
1768811069.277615,11.883362531661987,29,20,35,,,,,,
1768811069.3559508,11.961698293685913,28,20,34,,,,,,
