timestamp,alpha_norm,beta_norm,CC,RC,SC,state
2026-01-14T17:06:55.741662,0.4555,0.475,37,53,58,不安定
2026-01-14T17:06:55.880400,0.2748,0.2302,26,53,51,不安定
2026-01-14T17:06:56.014519,0.1144,0.042,10,52,33,不安定
2026-01-14T17:06:56.149041,0.1414,0.0537,10,52,34,不安定
2026-01-14T17:06:56.281330,0.1187,0.0761,17,51,44,不安定
2026-01-14T17:06:56.418414,0.1372,0.1021,21,51,48,不安定
2026-01-14T17:06:56.551348,0.2269,0.1835,24,52,50,不安定
2026-01-14T17:06:56.681926,0.4128,0.3873,33,53,54,不安定
2026-01-14T17:06:56.816094,0.1089,0.0827,21,51,49,不安定
2026-01-14T17:06:56.952130,0.099,0.0988,27,50,59,不安定
2026-01-14T17:06:57.089410,0.1069,0.0911,23,51,53,不安定
2026-01-14T17:06:57.223656,0.189,0.1079,16,52,41,不安定
2026-01-14T17:06:57.356913,0.1638,0.1131,20,52,46,不安定
2026-01-14T17:06:57.493642,0.1586,0.1284,23,51,51,不安定
2026-01-14T17:06:57.628427,0.2786,0.1308,15,54,36,不安定
2026-01-14T17:06:57.758445,0.5899,0.1782,12,61,28,リラックス
2026-01-14T17:06:57.894486,0.4703,0.1826,14,58,32,不安定
2026-01-14T17:06:58.027873,0.3788,0.2786,25,54,46,不安定
