timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769150791.550194,0.5929031372070312,57,52,67,,,,,,
1769150791.617722,0.660607099533081,58,52,68,,,,,,
1769150791.7028039,0.7456629276275635,56,52,65,,,,,,
1769150791.758453,0.8012421131134033,56,53,65,,,,,,
1769150791.819137,0.8616399765014648,57,52,67,,,,,,
1769150791.946078,0.9889369010925293,58,52,67,,,,,,
1769150791.997807,1.0405120849609375,57,52,66,,,,,,
1769150792.05281,1.095649003982544,57,52,66,,,,,,
1769150792.105104,1.1477150917053223,57,52,66,,,,,,
1769150792.155243,1.1980819702148438,57,52,65,,,,,,
1769150792.208692,1.2513401508331299,56,52,66,,,,,,
1769150792.2556648,1.2985730171203613,58,52,67,,,,,,
1769150792.306496,1.3493518829345703,58,52,68,,,,,,
1769150792.366276,1.409095287322998,56,52,65,,,,,,
1769150792.4258618,1.4687280654907227,57,52,66,,,,,,
1769150792.478281,1.521144151687622,57,52,67,,,,,,
1769150792.527103,1.5699362754821777,57,52,67,,,,,,
1769150792.574765,1.6175181865692139,57,52,66,,,,,,
1769150792.626029,1.6688299179077148,57,52,66,,,,,,
1769150792.680286,1.7230331897735596,57,52,67,,,,,,
1769150792.731518,1.7741801738739014,57,52,66,,,,,,
1769150792.7831192,1.8256802558898926,57,52,67,,,,,,
1769150792.832751,1.8753652572631836,58,52,67,,,,,,
1769150792.877103,1.9198830127716064,57,52,67,,,,,,
1769150792.918765,1.9615249633789062,57,53,65,,,,,,
1769150792.9640572,2.0068790912628174,57,52,67,,,,,,
1769150793.007221,2.0499770641326904,58,52,68,,,,,,
1769150793.056136,2.0986969470977783,57,52,67,,,,,,
1769150793.104418,2.147217273712158,57,52,66,,,,,,
1769150793.157325,2.200047016143799,57,52,67,,,,,,
1769150793.2052538,2.24802827835083,57,52,66,,,,,,
1769150793.25552,2.298272132873535,57,52,67,,,,,,
1769150793.3082612,2.35079288482666,58,52,68,,,,,,
1769150793.355982,2.3988139629364014,58,51,68,,,,,,
1769150793.406801,2.449321985244751,57,52,65,,,,,,
1769150793.4557009,2.4984850883483887,56,53,65,,,,,,
1769150793.505034,2.5478851795196533,59,51,69,,,,,,
1769150793.557004,2.5993540287017822,59,52,68,,,,,,
1769150793.60643,2.649132013320923,57,52,67,,,,,,
1769150793.655523,2.6982860565185547,57,52,66,,,,,,
1769150793.706252,2.748936891555786,57,52,67,,,,,,
1769150793.755466,2.798314094543457,57,52,66,,,,,,
1769150793.806307,2.8490021228790283,58,52,68,,,,,,
1769150793.855904,2.8986549377441406,58,52,67,,,,,,
1769150793.906176,2.9490041732788086,58,51,68,,,,,,
1769150793.9548512,2.9976630210876465,57,52,66,,,,,,
1769150794.00519,3.0478949546813965,57,52,67,,,,,,
1769150794.055068,3.097776174545288,58,51,68,,,,,,
1769150794.1049001,3.1476900577545166,58,51,68,,,,,,
1769150794.157136,3.1996541023254395,57,52,66,,,,,,
1769150794.205677,3.2483949661254883,57,52,65,,,,,,
1769150794.254999,3.2977280616760254,58,52,68,,,,,,
1769150794.305543,3.3481640815734863,58,51,68,,,,,,
1769150794.356616,3.3992700576782227,57,52,67,,,,,,
1769150794.407061,3.4498071670532227,57,52,66,,,,,,
1769150794.455819,3.498599052429199,58,52,68,,,,,,
1769150794.505465,3.548288106918335,58,52,67,,,,,,
1769150794.555019,3.5976550579071045,58,52,68,,,,,,
1769150794.6049988,3.6478421688079834,59,51,69,,,,,,
1769150794.656302,3.698920965194702,57,52,67,,,,,,
1769150794.705014,3.7478342056274414,57,53,65,,,,,,
1769150794.7557929,3.7985920906066895,57,52,66,,,,,,
1769150794.806869,3.8496131896972656,59,51,69,,,,,,
1769150794.8556302,3.8983428478240967,59,51,69,,,,,,
1769150794.905042,3.9476890563964844,57,53,65,,,,,,
1769150794.9562628,3.9988322257995605,57,52,66,,,,,,
1769150795.004732,4.047559976577759,58,52,67,,,,,,
1769150795.057085,4.09980320930481,58,52,67,,,,,,
1769150795.105346,4.148100137710571,59,52,68,,,,,,
1769150795.154977,4.197797060012817,59,51,69,,,,,,
1769150795.206739,4.249305009841919,57,52,66,,,,,,
1769150795.254551,4.297300100326538,56,53,65,,,,,,
1769150795.304969,4.347711086273193,58,52,67,,,,,,
1769150795.3550668,4.397794008255005,60,51,70,,,,,,
1769150795.4051788,4.4479522705078125,57,52,66,,,,,,
1769150795.456527,4.499214172363281,57,53,64,,,,,,
1769150795.504041,4.5468590259552,57,52,67,,,,,,
1769150795.555656,4.598474979400635,59,52,67,,,,,,
1769150795.6066408,4.649343013763428,57,52,66,,,,,,
1769150795.6546519,4.697528123855591,59,52,67,,,,,,
1769150795.705256,4.748046159744263,59,52,68,,,,,,
1769150795.755615,4.798387050628662,57,52,65,,,,,,
1769150795.805025,4.847848892211914,57,53,65,,,,,,
1769150795.8554618,4.898306131362915,58,52,67,,,,,,
