timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769579197.631362,0.5624098777770996,59,52,67,,,,,,
1769579197.6905699,0.6216917037963867,59,52,66,,,,,,
1769579197.753581,0.6844758987426758,59,52,66,,,,,,
1769579197.820163,0.7511067390441895,59,52,66,,,,,,
1769579197.993531,0.9246797561645508,59,52,67,,,,,,
1769579198.0444531,0.9753878116607666,60,52,67,,,,,,
1769579198.102481,1.0335707664489746,59,52,67,,,,,,
1769579198.171745,1.102902889251709,59,53,65,,,,,,
1769579198.2247832,1.1559488773345947,59,53,65,,,,,,
1769579198.27824,1.2092769145965576,59,52,67,,,,,,
1769579198.328246,1.259382963180542,59,52,67,,,,,,
1769579198.371809,1.3029348850250244,59,52,67,,,,,,
1769579198.4155,1.3465638160705566,59,52,67,,,,,,
1769579198.4608169,1.3919589519500732,59,52,67,,,,,,
1769579198.510818,1.4418437480926514,59,52,66,,,,,,
1769579198.557365,1.4883697032928467,59,52,67,,,,,,
1769579198.6046169,1.5357329845428467,60,52,67,,,,,,
1769579198.653468,1.5843656063079834,59,52,67,,,,,,
1769579198.702635,1.6337037086486816,59,53,65,,,,,,
1769579198.750273,1.6809637546539307,59,52,65,,,,,,
1769579198.7995892,1.7306888103485107,60,52,67,,,,,,
1769579198.844609,1.7756967544555664,59,52,66,,,,,,
1769579198.890372,1.8214597702026367,59,52,66,,,,,,
1769579198.937054,1.8680987358093262,59,52,66,,,,,,
1769579198.987367,1.9182767868041992,59,52,65,,,,,,
1769579199.0357199,1.966789722442627,58,53,64,,,,,,
1769579199.086324,2.0174179077148438,59,52,66,,,,,,
1769579199.136241,2.0672898292541504,61,51,68,,,,,,
1769579199.189142,2.1200318336486816,60,52,67,,,,,,
1769579199.235439,2.166487693786621,58,53,64,,,,,,
1769579199.2887769,2.219789743423462,60,52,67,,,,,,
1769579199.336096,2.267190933227539,60,52,67,,,,,,
1769579199.3867369,2.317706823348999,59,52,66,,,,,,
1769579199.436533,2.3676087856292725,59,52,66,,,,,,
1769579199.486998,2.417987823486328,60,52,67,,,,,,
1769579199.537395,2.4683499336242676,59,53,65,,,,,,
1769579199.587265,2.5182456970214844,59,52,66,,,,,,
1769579199.63643,2.567596912384033,60,52,67,,,,,,
1769579199.687592,2.618323802947998,60,52,67,,,,,,
1769579199.736324,2.6674716472625732,59,52,66,,,,,,
1769579199.7881558,2.7191648483276367,59,52,65,,,,,,
1769579199.836125,2.7672808170318604,60,52,67,,,,,,
1769579199.8881621,2.8190977573394775,60,52,67,,,,,,
1769579199.935743,2.8667938709259033,60,52,67,,,,,,
1769579199.986633,2.9177157878875732,59,52,66,,,,,,
1769579200.0369978,2.9677670001983643,60,52,67,,,,,,
1769579200.086817,3.017812967300415,60,52,67,,,,,,
1769579200.138769,3.069823980331421,60,52,68,,,,,,
1769579200.1874619,3.1182236671447754,60,52,67,,,,,,
1769579200.2374039,3.1683948040008545,60,52,67,,,,,,
1769579200.286151,3.217015027999878,60,52,67,,,,,,
1769579200.337378,3.268338918685913,60,52,68,,,,,,
1769579200.38769,3.318690776824951,59,52,67,,,,,,
1769579200.439048,3.369898796081543,59,52,67,,,,,,
1769579200.495198,3.4262747764587402,60,52,67,,,,,,
1769579200.5366888,3.467817783355713,60,52,67,,,,,,
1769579200.586535,3.5176539421081543,60,52,67,,,,,,
1769579200.6364942,3.567598819732666,60,52,67,,,,,,
1769579200.687146,3.6182079315185547,59,52,67,,,,,,
1769579200.7368808,3.6679489612579346,59,52,67,,,,,,
1769579200.786916,3.71783185005188,60,52,68,,,,,,
1769579200.837628,3.7687528133392334,60,52,68,,,,,,
1769579200.889311,3.8201727867126465,59,53,65,,,,,,
1769579200.94677,3.8778586387634277,59,53,65,,,,,,
1769579200.991097,3.9221596717834473,60,52,68,,,,,,
1769579201.036381,3.967543601989746,61,51,69,,,,,,
1769579201.086081,4.017239809036255,60,52,68,,,,,,
1769579201.137404,4.068159818649292,59,52,66,,,,,,
1769579201.185301,4.116469860076904,59,52,66,,,,,,
1769579201.2379122,4.168941020965576,59,52,66,,,,,,
1769579201.286206,4.217251777648926,59,52,66,,,,,,
1769579201.3378801,4.268751859664917,60,52,67,,,,,,
1769579201.386494,4.317563772201538,60,52,67,,,,,,
1769579201.436689,4.3677449226379395,59,52,66,,,,,,
1769579201.48833,4.418970823287964,59,53,65,,,,,,
1769579201.5462332,4.477380752563477,60,52,67,,,,,,
1769579201.589696,4.520766973495483,60,52,68,,,,,,
1769579201.635984,4.567047834396362,59,52,66,,,,,,
1769579201.686099,4.617194890975952,58,53,64,,,,,,
1769579201.737637,4.668477773666382,59,52,66,,,,,,
1769579201.789129,4.720167875289917,60,52,68,,,,,,
1769579201.8371232,4.768265962600708,59,52,67,,,,,,
1769579201.886844,4.817878007888794,58,53,65,,,,,,
1769579201.9354298,4.866581916809082,59,52,65,,,,,,
1769579201.986731,4.917821884155273,59,52,66,,,,,,
1769579202.036791,4.967498779296875,59,53,65,,,,,,
1769579202.086859,5.017881631851196,59,52,65,,,,,,
1769579202.137175,5.068038702011108,58,52,65,,,,,,
1769579202.186686,5.117706775665283,58,53,65,,,,,,
1769579202.236709,5.167657852172852,57,53,63,,,,,,
1769579202.285905,5.217030763626099,59,52,65,,,,,,
1769579202.3380659,5.269053936004639,59,52,66,,,,,,
1769579202.387319,5.318366765975952,59,52,65,,,,,,
1769579202.437782,5.368806838989258,58,53,64,,,,,,
1769579202.487506,5.4183878898620605,59,52,66,,,,,,
1769579202.537612,5.468665838241577,59,53,65,,,,,,
1769579202.587189,5.51819372177124,58,53,65,,,,,,
1769579202.6365361,5.567386865615845,59,52,65,,,,,,
1769579202.688056,5.618865728378296,60,52,66,,,,,,
1769579202.745148,5.676167726516724,58,53,64,,,,,,
1769579202.787744,5.7188498973846436,59,52,66,,,,,,
1769579202.836521,5.767560958862305,59,53,65,,,,,,
1769579202.886534,5.8173418045043945,59,53,65,,,,,,
1769579202.939283,5.8701348304748535,58,53,63,,,,,,
1769579203.001035,5.932077646255493,58,53,64,,,,,,
1769579203.04383,5.974907875061035,59,53,65,,,,,,
1769579203.08623,6.01723575592041,59,53,65,,,,,,
1769579203.1376908,6.068742752075195,58,53,64,,,,,,
1769579203.18674,6.117753744125366,59,53,65,,,,,,
1769579203.236189,6.167301654815674,59,53,65,,,,,,
1769579203.2854881,6.216588020324707,59,53,64,,,,,,
1769579203.337551,6.268581867218018,59,53,65,,,,,,
1769579203.385272,6.31642484664917,60,52,67,,,,,,
1769579203.436983,6.368046760559082,61,52,67,,,,,,
1769579203.4863749,6.4175050258636475,60,52,66,,,,,,
1769579203.539217,6.470264673233032,60,52,66,,,,,,
1769579203.5868852,6.5179219245910645,60,52,67,,,,,,
1769579203.636163,6.567080736160278,60,52,67,,,,,,
1769579203.68893,6.619550943374634,60,52,66,,,,,,
1769579203.73712,6.668189764022827,60,52,66,,,,,,
1769579203.785913,6.7170398235321045,60,52,66,,,,,,
1769579203.837218,6.768228769302368,60,52,66,,,,,,
1769579203.886407,6.817525863647461,61,52,67,,,,,,
1769579203.935454,6.8666298389434814,60,52,67,,,,,,
1769579203.988019,6.9189558029174805,60,52,66,,,,,,
1769579204.036226,6.967341661453247,60,52,67,,,,,,
1769579204.0864,7.017245769500732,61,52,67,,,,,,
1769579204.137504,7.0685036182403564,61,52,68,,,,,,
1769579204.186198,7.117178678512573,61,52,68,,,,,,
1769579204.235119,7.166229963302612,60,52,66,,,,,,
1769579204.2856588,7.2167956829071045,61,52,67,,,,,,
1769579204.3374898,7.268542766571045,61,52,68,,,,,,
1769579204.386366,7.317430019378662,61,52,68,,,,,,
1769579204.436216,7.367193698883057,61,52,68,,,,,,
1769579204.485612,7.416655778884888,62,52,68,,,,,,
