timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769150340.2426891,0.47610974311828613,57,59,53,,,,,,
1769150340.313699,0.5473909378051758,56,59,52,,,,,,
1769150340.377957,0.6116459369659424,56,59,52,,,,,,
1769150340.42704,0.660597562789917,57,59,53,,,,,,
1769150340.4792562,0.7129347324371338,58,58,54,,,,,,
1769150340.5266292,0.7602658271789551,57,59,53,,,,,,
1769150340.6752079,0.9088928699493408,56,59,53,,,,,,
1769150340.742521,0.9760887622833252,56,59,53,,,,,,
1769150340.7479832,0.9817328453063965,57,59,52,,,,,,
1769150340.802748,1.036423921585083,57,59,53,,,,,,
1769150340.850125,1.0836679935455322,59,57,55,,,,,,
1769150340.899461,1.1331307888031006,58,58,55,,,,,,
1769150340.947409,1.1808497905731201,56,59,53,,,,,,
1769150340.9975848,1.2310378551483154,57,59,53,,,,,,
1769150341.046901,1.2803027629852295,57,58,54,,,,,,
1769150341.0972538,1.3309667110443115,57,58,54,,,,,,
1769150341.1471171,1.3807318210601807,57,59,53,,,,,,
1769150341.2012439,1.434924602508545,57,58,54,,,,,,
1769150341.253023,1.4866366386413574,57,58,54,,,,,,
1769150341.307243,1.540846824645996,57,58,54,,,,,,
1769150341.358978,1.592606782913208,57,58,54,,,,,,
1769150341.409025,1.6426880359649658,57,58,54,,,,,,
1769150341.4578261,1.6914067268371582,57,58,54,,,,,,
1769150341.5035992,1.7371468544006348,57,59,53,,,,,,
1769150341.547817,1.7814888954162598,57,58,53,,,,,,
1769150341.597676,1.8313698768615723,57,58,54,,,,,,
1769150341.648145,1.8817827701568604,57,59,53,,,,,,
1769150341.697352,1.9309337139129639,57,59,53,,,,,,
1769150341.7482398,1.981928825378418,57,58,54,,,,,,
1769150341.799755,2.033174753189087,58,58,54,,,,,,
1769150341.847051,2.08077073097229,57,58,54,,,,,,
1769150341.8984761,2.1320178508758545,57,58,54,,,,,,
1769150341.9477692,2.1814658641815186,57,58,53,,,,,,
1769150341.998484,2.2320189476013184,57,59,53,,,,,,
1769150342.047518,2.2812228202819824,56,59,53,,,,,,
1769150342.097446,2.33115291595459,57,58,54,,,,,,
1769150342.147991,2.3816399574279785,58,58,55,,,,,,
1769150342.19744,2.431058883666992,57,58,54,,,,,,
1769150342.2487621,2.4824347496032715,57,59,53,,,,,,
1769150342.2979589,2.531554698944092,57,58,54,,,,,,
1769150342.3466399,2.5803298950195312,57,58,54,,,,,,
1769150342.399754,2.6331326961517334,57,58,53,,,,,,
1769150342.459048,2.6924638748168945,57,58,54,,,,,,
1769150342.503541,2.7370848655700684,58,58,54,,,,,,
1769150342.5486588,2.78220272064209,56,59,53,,,,,,
1769150342.5985239,2.8319497108459473,56,59,53,,,,,,
1769150342.651059,2.8839027881622314,58,58,54,,,,,,
1769150342.7120209,2.9456558227539062,58,58,55,,,,,,
1769150342.7538009,2.9873979091644287,57,58,54,,,,,,
1769150342.7977479,3.031428813934326,57,59,53,,,,,,
1769150342.848267,3.0817809104919434,57,58,54,,,,,,
1769150342.89832,3.131838798522949,57,59,53,,,,,,
1769150342.946818,3.1803836822509766,57,58,53,,,,,,
1769150343.0015512,3.2337117195129395,58,58,55,,,,,,
1769150343.054506,3.288148880004883,57,58,54,,,,,,
1769150343.097164,3.3306307792663574,56,59,52,,,,,,
1769150343.14705,3.38067889213562,57,59,53,,,,,,
1769150343.1995652,3.43300461769104,58,58,55,,,,,,
1769150343.24847,3.481975793838501,58,58,55,,,,,,
1769150343.297944,3.531606674194336,57,58,53,,,,,,
1769150343.347297,3.5808756351470947,57,58,54,,,,,,
1769150343.398138,3.6316096782684326,57,58,53,,,,,,
1769150343.448498,3.6820197105407715,57,58,54,,,,,,
1769150343.496639,3.730304718017578,58,58,55,,,,,,
1769150343.548278,3.781747817993164,58,58,55,,,,,,
1769150343.597097,3.8307178020477295,57,59,53,,,,,,
1769150343.647537,3.881143808364868,57,59,53,,,,,,
1769150343.699626,3.93285870552063,57,58,54,,,,,,
1769150343.747608,3.9812817573547363,57,58,54,,,,,,
1769150343.798826,4.032495737075806,57,58,54,,,,,,
1769150343.848304,4.081723928451538,57,58,54,,,,,,
1769150343.896519,4.130191802978516,57,58,54,,,,,,
1769150343.949044,4.182689666748047,57,58,54,,,,,,
1769150343.998236,4.231725692749023,57,58,54,,,,,,
1769150344.047352,4.280975818634033,57,58,54,,,,,,
1769150344.099234,4.332819938659668,57,58,54,,,,,,
1769150344.148237,4.381830930709839,56,59,53,,,,,,
1769150344.197574,4.431216716766357,56,59,53,,,,,,
1769150344.248716,4.482215881347656,57,58,54,,,,,,
1769150344.2967129,4.530332803726196,57,58,54,,,,,,
1769150344.347486,4.581129789352417,57,59,53,,,,,,
1769150344.398541,4.632080793380737,56,59,53,,,,,,
1769150344.447737,4.681439638137817,57,58,53,,,,,,
1769150344.496843,4.730495929718018,57,59,53,,,,,,
1769150344.548676,4.782172918319702,56,59,53,,,,,,
1769150344.597568,4.831280708312988,56,59,53,,,,,,
1769150344.648622,4.88216495513916,56,59,53,,,,,,
1769150344.697642,4.931294918060303,56,59,52,,,,,,
1769150344.746445,4.980108737945557,56,59,53,,,,,,
1769150344.79839,5.03191876411438,57,58,55,,,,,,
1769150344.848246,5.081890821456909,57,58,53,,,,,,
1769150344.9007978,5.133901834487915,56,59,53,,,,,,
1769150344.947052,5.1807286739349365,56,59,53,,,,,,
1769150345.000112,5.233393907546997,56,59,53,,,,,,
1769150345.049757,5.2829766273498535,56,59,53,,,,,,
1769150345.1065018,5.340037822723389,56,59,53,,,,,,
1769150345.1486878,5.38222074508667,57,58,54,,,,,,
1769150345.198184,5.4317686557769775,56,59,53,,,,,,
1769150345.248843,5.482317686080933,56,59,53,,,,,,
1769150345.299675,5.533019781112671,56,58,54,,,,,,
1769150345.348938,5.582460880279541,56,58,54,,,,,,
1769150345.399355,5.632850885391235,56,59,53,,,,,,
1769150345.4472902,5.680971622467041,56,59,53,,,,,,
1769150345.499707,5.73327898979187,56,59,53,,,,,,
1769150345.547345,5.7809717655181885,57,58,54,,,,,,
1769150345.598881,5.832399845123291,56,58,53,,,,,,
1769150345.649158,5.88266396522522,56,59,53,,,,,,
1769150345.697642,5.9311747550964355,56,58,53,,,,,,
1769150345.747651,5.981288909912109,56,59,53,,,,,,
1769150345.796577,6.030282020568848,57,58,54,,,,,,
1769150345.846903,6.080583810806274,57,58,55,,,,,,
1769150345.897718,6.1313958168029785,57,58,54,,,,,,
1769150345.947468,6.181057691574097,57,58,54,,,,,,
1769150345.997034,6.2307257652282715,57,58,54,,,,,,
1769150346.048254,6.281806707382202,57,58,54,,,,,,
1769150346.097066,6.330768823623657,57,58,54,,,,,,
1769150346.148509,6.382018804550171,57,58,55,,,,,,
1769150346.197186,6.430877923965454,58,58,54,,,,,,
1769150346.2474189,6.481127738952637,57,58,54,,,,,,
1769150346.298343,6.53196382522583,57,58,55,,,,,,
1769150346.347324,6.580971717834473,57,58,54,,,,,,
1769150346.397342,6.630964994430542,56,59,53,,,,,,
1769150346.44674,6.680423736572266,57,58,54,,,,,,
1769150346.4965289,6.730233669281006,58,57,55,,,,,,
1769150346.54794,6.781352996826172,58,58,55,,,,,,
1769150346.5973508,6.830973863601685,57,58,54,,,,,,
1769150346.6477718,6.881476879119873,57,58,54,,,,,,
1769150346.697888,6.931550979614258,57,58,54,,,,,,
1769150346.747403,6.981048822402954,57,58,54,,,,,,
1769150346.797729,7.03138279914856,57,58,54,,,,,,
1769150346.847136,7.080827713012695,58,57,56,,,,,,
1769150346.896548,7.130253791809082,57,58,54,,,,,,
1769150346.9480078,7.181236982345581,56,59,53,,,,,,
1769150346.997765,7.231461763381958,57,59,53,,,,,,
1769150347.047824,7.281499862670898,58,58,54,,,,,,
1769150347.097441,7.330976724624634,57,59,53,,,,,,
1769150347.147224,7.380890846252441,57,59,53,,,,,,
1769150347.1974359,7.431041717529297,57,59,53,,,,,,
1769150347.2485251,7.482030868530273,57,59,53,,,,,,
1769150347.296333,7.529890775680542,57,59,53,,,,,,
1769150347.348293,7.58173680305481,57,58,54,,,,,,
1769150347.3965619,7.630218744277954,56,59,53,,,,,,
1769150347.4470122,7.680717706680298,56,60,52,,,,,,
1769150347.497781,7.731359004974365,56,60,52,,,,,,
1769150347.5478778,7.781449794769287,57,59,53,,,,,,
1769150347.597733,7.831399917602539,57,59,53,,,,,,
