timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769151757.266028,262.89307284355164,75,51,69,77.98,51.705,67.52,020.803783783783786,9.440135135135137,032.480000000000004
1769151757.316756,262.9437539577484,75,51,69,77.935,51.72,67.49,020.848783783783787,9.455135135135137,032.510000000000005
1769151757.365553,262.9925320148468,75,51,69,77.89,51.735,67.455,020.89378378378379,9.470135135135138,032.545
1769151757.4162502,263.0431571006775,75,51,70,77.845,51.75,67.43,020.93878378378379,9.485135135135138,032.56999999999999
1769151757.465587,263.0926401615143,75,50,70,77.8,51.76,67.405,020.983783783783792,9.495135135135136,032.595
1769151757.516541,263.143501996994,75,50,70,77.755,51.77,67.375,021.028783783783794,9.505135135135141,032.625
1769151757.566981,263.1938009262085,75,50,71,77.705,51.785,67.35,021.07878378378379,9.520135135135135,032.650000000000006
1769151757.615157,263.2421889305115,76,50,71,77.665,51.795,67.325,021.118783783783783,9.53013513513514,032.675
1769151757.666832,263.2937400341034,76,50,72,77.625,51.805,67.305,021.15878378378379,9.540135135135138,032.69499999999999
1769151757.716958,263.3438889980316,76,50,72,77.585,51.815,67.285,021.198783783783796,9.550135135135136,032.715
1769151757.7668118,263.3936951160431,76,50,72,77.545,51.825,67.265,021.238783783783788,9.560135135135141,032.735
1769151757.81616,263.4432439804077,76,50,72,77.505,51.835,67.245,021.278783783783794,9.57013513513514,032.754999999999995
1769151757.865746,263.492791891098,76,50,72,77.465,51.845,67.225,021.318783783783786,9.580135135135137,032.775000000000006
1769151757.916695,263.5436968803406,76,50,73,77.425,51.855,67.21,021.358783783783792,9.590135135135135,032.790000000000006
1769151757.965549,263.5922341346741,76,49,73,77.385,51.86,67.195,021.398783783783784,9.595135135135138,032.80500000000001
1769151758.017163,263.6439709663391,76,49,73,77.345,51.865,67.18,021.43878378378379,9.60013513513514,032.81999999999999
1769151758.066315,263.6932690143585,76,49,73,77.305,51.87,67.165,021.478783783783783,9.605135135135136,032.834999999999994
1769151758.117151,263.7439398765564,76,49,74,77.265,51.875,67.155,021.51878378378379,9.610135135135138,032.845
1769151758.16566,263.79270577430725,76,49,74,77.22,51.885,67.14,021.56378378378379,9.620135135135136,032.86
