timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769155234.532897,0.4774608612060547,54,58,53,,,,,,
1769155234.606156,0.5509521961212158,54,58,53,,,,,,
1769155234.667511,0.6123650074005127,54,58,53,,,,,,
1769155234.7865422,0.7312819957733154,54,58,53,,,,,,
1769155234.9447339,0.8894610404968262,54,58,54,,,,,,
1769155234.994328,0.9390408992767334,54,58,54,,,,,,
1769155235.037527,0.9823610782623291,54,58,54,,,,,,
1769155235.087643,1.0324678421020508,54,58,54,,,,,,
1769155235.138025,1.0828101634979248,54,58,54,,,,,,
1769155235.197372,1.1420679092407227,54,58,54,,,,,,
1769155235.245312,1.1900091171264648,54,58,54,,,,,,
1769155235.292417,1.2372169494628906,54,58,54,,,,,,
1769155235.33837,1.2832050323486328,54,58,54,,,,,,
1769155235.3883798,1.333108901977539,54,58,54,,,,,,
1769155235.438287,1.38309907913208,54,58,54,,,,,,
1769155235.490399,1.4351160526275635,54,58,54,,,,,,
1769155235.540915,1.4856328964233398,54,58,54,,,,,,
1769155235.595818,1.5405118465423584,54,58,54,,,,,,
1769155235.650656,1.5952811241149902,54,57,55,,,,,,
1769155235.7035599,1.6484110355377197,55,57,55,,,,,,
1769155235.76047,1.7052509784698486,54,57,55,,,,,,
1769155235.8098528,1.7543540000915527,54,57,55,,,,,,
1769155235.8587809,1.8034532070159912,54,57,55,,,,,,
1769155235.903668,1.8484909534454346,54,58,54,,,,,,
1769155235.953639,1.8983879089355469,54,58,54,,,,,,
1769155236.00683,1.9515008926391602,54,57,54,,,,,,
1769155236.070837,2.015538215637207,54,57,55,,,,,,
1769155236.136852,2.0815389156341553,55,57,55,,,,,,
1769155236.18801,2.132798910140991,54,57,55,,,,,,
1769155236.2397802,2.1844778060913086,54,57,55,,,,,,
1769155236.287922,2.232530117034912,54,57,55,,,,,,
1769155236.340105,2.284785032272339,54,58,54,,,,,,
1769155236.3882089,2.332597017288208,54,57,55,,,,,,
1769155236.439082,2.383805990219116,53,58,53,,,,,,
1769155236.488242,2.433053970336914,53,58,53,,,,,,
1769155236.5384939,2.483059883117676,55,57,55,,,,,,
1769155236.591678,2.5363078117370605,55,57,56,,,,,,
1769155236.656991,2.6016931533813477,53,58,54,,,,,,
1769155236.762335,2.70668888092041,54,58,54,,,,,,
1769155236.82818,2.772890090942383,54,58,54,,,,,,
1769155236.898998,2.8436689376831055,55,58,54,,,,,,
1769155236.952885,2.897671937942505,55,58,54,,,,,,
1769155237.0070348,2.9517979621887207,54,58,54,,,,,,
1769155237.0632162,3.007460117340088,55,58,54,,,,,,
1769155237.1173272,3.0619781017303467,55,58,54,,,,,,
1769155237.164664,3.1094229221343994,54,58,54,,,,,,
1769155237.2068858,3.1515870094299316,54,58,53,,,,,,
1769155237.248678,3.1931939125061035,54,59,52,,,,,,
1769155237.292223,3.236644983291626,54,60,51,,,,,,
1769155237.338203,3.282996892929077,53,60,51,,,,,,
1769155237.388702,3.3332982063293457,53,60,50,,,,,,
1769155237.437842,3.3824849128723145,53,60,51,,,,,,
1769155237.487798,3.4324519634246826,54,60,51,,,,,,
1769155237.537083,3.4819061756134033,54,60,51,,,,,,
1769155237.58904,3.533789873123169,54,60,51,,,,,,
