timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769578644.781187,0.5383200645446777,72,50,73,,,,,,
1769578644.876549,0.6364970207214355,70,50,71,,,,,,
1769578644.959928,0.7198901176452637,70,51,70,,,,,,
1769578645.017044,0.7767400741577148,71,50,71,,,,,,
1769578645.0747678,0.8346819877624512,71,51,70,,,,,,
1769578645.1264331,0.8864121437072754,70,50,71,,,,,,
1769578645.214932,0.9747631549835205,71,50,71,,,,,,
1769578645.287353,1.0472478866577148,70,50,71,,,,,,
1769578645.359957,1.1198458671569824,70,51,69,,,,,,
1769578645.4163861,1.176393985748291,70,51,71,,,,,,
1769578645.47571,1.2356932163238525,71,50,72,,,,,,
1769578645.525054,1.2849411964416504,71,50,72,,,,,,
1769578645.571945,1.331923007965088,70,51,70,,,,,,
1769578645.6182442,1.3782050609588623,71,50,71,,,,,,
1769578645.665958,1.425826072692871,70,50,71,,,,,,
1769578645.717514,1.4763071537017822,70,51,70,,,,,,
1769578645.765748,1.5255529880523682,71,50,72,,,,,,
1769578645.8173409,1.5772600173950195,71,50,71,,,,,,
1769578645.874597,1.6343131065368652,70,51,70,,,,,,
1769578645.9393358,1.6992058753967285,70,51,69,,,,,,
1769578645.9967082,1.7557930946350098,70,50,71,,,,,,
1769578646.043765,1.8036000728607178,70,50,71,,,,,,
1769578646.09378,1.8537311553955078,70,50,71,,,,,,
1769578646.140712,1.9005262851715088,70,51,70,,,,,,
1769578646.186215,1.9461162090301514,70,50,71,,,,,,
1769578646.236925,1.996880054473877,70,51,70,,,,,,
1769578646.2866938,2.046370029449463,70,51,70,,,,,,
1769578646.335954,2.0959291458129883,71,50,72,,,,,,
1769578646.387591,2.147149085998535,71,50,72,,,,,,
1769578646.436727,2.196666955947876,70,51,70,,,,,,
1769578646.4863849,2.246361255645752,69,51,69,,,,,,
1769578646.53602,2.2959320545196533,71,50,72,,,,,,
1769578646.587622,2.3475241661071777,70,51,70,,,,,,
1769578646.6383512,2.398236036300659,70,50,71,,,,,,
1769578646.688043,2.447946071624756,70,50,72,,,,,,
1769578646.737098,2.4971141815185547,71,50,72,,,,,,
1769578646.787285,2.547032117843628,69,51,70,,,,,,
1769578646.835847,2.5958662033081055,70,50,71,,,,,,
1769578646.889641,2.6493399143218994,71,50,71,,,,,,
1769578646.9373498,2.6972732543945312,70,50,71,,,,,,
1769578646.9875772,2.7475481033325195,70,50,72,,,,,,
1769578647.038099,2.7978079319000244,71,50,73,,,,,,
1769578647.087029,2.8470449447631836,70,51,70,,,,,,
1769578647.1377542,2.8975000381469727,71,50,73,,,,,,
1769578647.1881979,2.948019027709961,71,50,71,,,,,,
1769578647.237012,2.996951103210449,71,50,71,,,,,,
1769578647.291403,3.0508570671081543,71,50,72,,,,,,
